2025-05-31 17:45:10.541 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:10.542 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:11.235 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:11.236 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:11.236 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:11.236 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:12.022 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:12.024 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:12.024 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:12.024 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:12.609 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:12.611 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:12.611 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:12.611 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:13.217 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:13.219 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:13.219 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:13.219 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
